Date;Open;High;Low;Close;Adj Close;Volume
2017-11-09;3.539270;3.539270;2.413060;2.661320;2.661320;4328
2017-11-10;2.668500;2.741550;2.048000;2.301820;2.301820;4511
2017-11-11;2.293800;2.370250;2.003750;2.245350;2.245350;1785
2017-11-12;2.243780;2.535580;1.498110;2.075460;2.075460;11372
2017-11-13;2.078570;2.362510;1.912830;2.151990;2.151990;5561
2017-11-14;2.351360;2.420420;1.839380;2.238630;2.238630;18115
2017-11-15;2.239920;2.340500;1.975320;2.014230;2.014230;4156
2017-11-16;2.022510;2.437310;1.741470;1.808860;1.808860;7495
2017-11-17;1.806000;2.373000;1.806000;2.216980;2.216980;4192
2017-11-18;2.264690;2.500400;1.936680;2.461810;2.461810;3259
2017-11-19;2.456490;2.742270;2.314260;2.541250;2.541250;16853
2017-11-20;2.539730;2.730320;2.084490;2.351080;2.351080;24342
2017-11-21;2.351210;2.419650;2.077800;2.107140;2.107140;7812
2017-11-22;2.112060;2.411440;1.827610;1.828710;1.828710;14989
2017-11-23;1.828380;2.300890;1.828380;2.033180;2.033180;6589
2017-11-24;2.029320;2.366630;1.853700;2.234380;2.234380;18631
2017-11-25;2.230350;2.357970;2.026400;2.218390;2.218390;6780
2017-11-26;2.215010;2.476130;1.901800;2.368880;2.368880;26163
2017-11-27;2.368450;2.516710;1.924540;1.971550;1.971550;16168
2017-11-28;1.975920;2.222720;1.731580;2.065140;2.065140;8248
2017-11-29;2.063230;2.386510;1.697390;1.754210;1.754210;9561
2017-11-30;1.780780;2.478200;1.774870;2.449100;2.449100;13743
2017-12-01;2.437870;2.743070;1.585200;2.304330;2.304330;29037
2017-12-02;2.302460;2.979270;2.298190;2.934670;2.934670;29720
2017-12-03;2.937340;3.240180;2.559910;3.140810;3.140810;10228
2017-12-04;3.151150;6.242440;3.141530;5.285000;5.285000;77849
2017-12-05;5.293930;6.333720;4.505080;5.713380;5.713380;63660
2017-12-06;5.701100;7.296600;5.495000;6.548570;6.548570;30413
2017-12-07;6.574670;6.984370;3.928500;5.081430;5.081430;36590
2017-12-08;5.072040;5.645400;4.048650;5.576770;5.576770;10277
2017-12-09;5.571290;6.367420;4.152560;4.936550;4.936550;8605
2017-12-10;4.956550;6.636280;4.115590;6.408070;6.408070;7368
2017-12-11;6.367940;6.985780;5.540560;5.718640;5.718640;12840
2017-12-12;5.724310;6.607400;5.330990;5.691800;5.691800;13804
2017-12-13;5.696540;6.545680;4.821680;5.030880;5.030880;9247
2017-12-14;5.020620;5.667410;4.786270;5.322050;5.322050;13973
2017-12-15;5.329760;6.173920;5.014030;6.173920;6.173920;19372
2017-12-16;6.183200;7.938380;5.449510;7.348520;7.348520;76293
2017-12-17;7.363430;9.063220;6.029500;8.547900;8.547900;406473
2017-12-18;8.573660;8.573660;7.118900;8.275010;8.275010;207558
2017-12-19;8.191010;12.278100;7.240360;12.229500;12.229500;154763
2017-12-20;11.271800;14.851200;7.926780;12.855300;12.855300;241102
2017-12-21;12.888100;14.274600;9.949680;10.838200;10.838200;121897
2017-12-22;10.570500;13.659600;8.035380;12.814300;12.814300;37206
2017-12-23;12.971400;14.012800;7.859940;11.620500;11.620500;464179
2017-12-24;11.748100;12.012400;8.908600;9.705950;9.705950;41092
2017-12-25;9.804720;12.515000;7.905200;12.444100;12.444100;64354
2017-12-26;12.432100;25.233200;11.351600;18.350401;18.350401;163900
2017-12-27;18.367599;23.214800;16.473600;19.856899;19.856899;89216
2017-12-28;19.816200;20.780899;14.808700;18.018200;18.018200;50285
2017-12-29;18.189100;22.126499;15.162400;15.162400;15.162400;61405
2017-12-30;15.131200;18.344601;12.673700;14.090000;14.090000;49195
2017-12-31;13.939400;16.590700;11.553500;13.915800;13.915800;15968
2018-01-01;13.921500;17.860001;13.296000;14.893700;14.893700;23526
2018-01-02;14.894300;15.901200;9.018970;14.888500;14.888500;222694
2018-01-03;14.837900;18.992599;14.722700;18.186100;18.186100;59051
2018-01-04;18.283300;19.570000;12.855500;16.264500;16.264500;91179
2018-01-05;16.263100;34.177898;16.002701;32.834801;32.834801;260900
2018-01-06;32.930901;33.690601;26.429001;26.429001;26.429001;187561
2018-01-07;26.412100;30.632000;21.855900;26.381701;26.381701;154472
2018-01-08;26.382700;33.098900;25.118900;30.327801;30.327801;91873
2018-01-09;27.132000;30.806801;25.590599;29.156601;29.156601;144594
2018-01-10;29.199200;29.262501;22.511499;24.813200;24.813200;84141
2018-01-11;24.777399;27.407000;19.577801;20.298100;20.298100;86159
2018-01-12;20.452999;24.522400;18.349199;23.584999;23.584999;108855
2018-01-13;23.566601;29.879700;21.178400;22.376600;22.376600;76064
2018-01-14;22.151800;25.724300;20.033100;22.318899;22.318899;114196
2018-01-15;22.162300;24.494301;19.488100;20.161400;20.161400;29165
2018-01-16;20.132401;20.263800;10.932800;11.852900;11.852900;44663
2018-01-17;11.794100;15.418200;8.298690;14.502800;14.502800;137455
2018-01-18;14.563800;16.094200;10.203700;14.754900;14.754900;75539
2018-01-19;14.600300;27.071501;11.794600;27.071501;27.071501;62265
2018-01-20;28.531700;37.042099;14.215600;15.193900;15.193900;9798
2018-01-21;15.227900;32.095200;13.733200;15.973000;15.973000;56541
2018-01-22;16.102200;16.487600;10.457100;12.577800;12.577800;59363
2018-01-23;12.545000;20.617201;12.241500;18.431200;18.431200;75406
2018-01-24;18.421600;18.556700;13.490200;14.821300;14.821300;91544
2018-01-25;15.059000;16.661600;12.297800;14.012500;14.012500;25801
2018-01-26;13.973400;14.389800;10.372400;11.674000;11.674000;60948
2018-01-27;11.667100;12.697400;10.134600;11.831700;11.831700;26414
2018-01-28;11.896900;12.684900;10.170700;12.608700;12.608700;30720
2018-01-29;12.594200;16.166800;11.260100;16.100401;16.100401;44396
2018-01-30;16.105801;16.400999;11.248200;11.592400;11.592400;37382
2018-01-31;11.611800;13.037900;10.379000;12.982700;12.982700;25147
2018-02-01;13.012600;14.084300;10.085600;13.819600;13.819600;30461
2018-02-02;11.720300;16.054701;9.043350;10.610300;10.610300;50500
2018-02-03;10.646700;14.955400;7.757020;12.112800;12.112800;30713
2018-02-04;12.118500;14.585000;9.049820;10.896000;10.896000;62093
2018-02-05;9.638100;10.202100;7.396230;7.868060;7.868060;27553
2018-02-06;7.877900;10.268900;6.668710;10.185600;10.185600;4935
2018-02-07;10.099900;11.069200;8.154770;9.988080;9.988080;19450
2018-02-08;9.948980;11.638600;9.820990;11.553500;11.553500;8443
2018-02-09;11.581500;12.152700;10.085700;11.058700;11.058700;13099
2018-02-10;11.060800;11.387800;8.974950;11.116100;11.116100;28527
2018-02-11;11.106400;11.106400;8.312530;9.006120;9.006120;17186
2018-02-12;9.061020;10.836700;6.524380;9.921800;9.921800;55910
2018-02-13;9.939620;10.389900;6.878760;7.893670;7.893670;32381
2018-02-14;7.878790;8.941110;7.433580;8.136750;8.136750;10830
2018-02-15;8.141070;9.271250;7.756060;9.271250;9.271250;12236
2018-02-16;9.236850;11.018300;8.713100;9.575610;9.575610;20323
2018-02-17;9.573800;15.610200;9.453180;13.097100;13.097100;84095
2018-02-18;13.128200;14.922200;13.030200;14.264800;14.264800;27734
2018-02-19;14.203300;16.399300;13.657300;16.012300;16.012300;37311
2018-02-20;16.025000;17.276800;15.601700;16.274300;16.274300;53601
2018-02-21;16.254000;17.592400;13.364900;13.615900;13.615900;23979
2018-02-22;13.597800;15.497000;12.941000;13.843100;13.843100;13339
2018-02-23;13.837000;15.989600;13.322200;15.020100;15.020100;21708
2018-02-24;15.001900;15.821700;8.281230;13.518000;13.518000;69846
2018-02-25;14.055500;14.055500;8.950230;12.702000;12.702000;20352
2018-02-26;12.837300;13.548600;11.305700;12.853600;12.853600;11339
2018-02-27;12.890700;14.284900;11.687100;13.434600;13.434600;36996
2018-02-28;13.418900;17.509600;11.299600;17.446600;17.446600;155839
2018-03-01;17.472099;17.472099;9.334110;12.049000;12.049000;43316
2018-03-02;12.019600;12.264500;10.301400;10.410500;10.410500;10750
2018-03-03;10.398300;10.988000;9.126240;9.832760;9.832760;20277
2018-03-04;9.816480;10.132600;8.966200;10.081300;10.081300;9306
2018-03-05;10.058400;11.380000;9.764930;10.295200;10.295200;28393
2018-03-06;10.271300;10.617700;8.371090;8.459730;8.459730;24823
2018-03-07;8.451360;12.317300;8.451360;9.962970;9.962970;36976
2018-03-08;9.948750;10.395100;7.837150;8.110250;8.110250;16914
2018-03-09;8.065860;8.437340;7.313330;8.399690;8.399690;8901
2018-03-10;8.402790;8.787840;7.950550;8.231880;8.231880;10906
2018-03-11;8.204390;8.719620;7.717540;8.583850;8.583850;5212
2018-03-12;8.557960;9.342060;8.190090;8.343070;8.343070;7912
2018-03-13;8.305010;9.267270;8.105370;8.933010;8.933010;11376
2018-03-14;8.934480;9.167940;7.726890;7.966840;7.966840;4278
2018-03-15;7.963270;8.063620;6.991130;7.269510;7.269510;7187
2018-03-16;7.265160;7.693370;6.847770;7.047340;7.047340;6375
2018-03-17;7.058850;7.652820;5.514580;6.629650;6.629650;15453
2018-03-18;6.613650;6.613650;5.009710;6.275590;6.275590;16560
2018-03-19;6.249370;6.886250;5.734250;6.202740;6.202740;9601
2018-03-20;6.270400;7.079100;6.093840;6.624850;6.624850;3640
2018-03-21;6.640710;7.142620;6.156460;6.211210;6.211210;11118
2018-03-22;6.202350;7.254990;5.801600;5.931550;5.931550;8733
2018-03-23;5.931220;6.546450;5.711580;6.546450;6.546450;2153
2018-03-24;6.638840;6.657640;5.626310;6.291000;6.291000;15877
2018-03-25;6.211220;7.708850;5.335230;6.925700;6.925700;11747
2018-03-26;6.919840;6.958160;5.115440;5.665770;5.665770;14373
2018-03-27;5.684000;6.389650;4.156240;4.906160;4.906160;21210
2018-03-28;4.907580;6.031180;4.876150;5.793320;5.793320;6075
2018-03-29;5.798380;5.823760;5.043790;5.475230;5.475230;6941
